Testrun_Name,Max_Speed,Distance_m,Long_acc,Pass,Unit Test,System Test,Date
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094135_000015.erg,110.135,630.073,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094136_000016.erg,110.618,630.038,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094138_000017.erg,110.72,629.87,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094140_000024.erg,50.326,364.162,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094142_000025.erg,56.162,371.954,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094144_000026.erg,61.048,376.514,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094145_000027.erg,65.963,379.244,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094147_000028.erg,70.386,318.689,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094135_000015.erg,110.135,630.073,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094136_000016.erg,110.618,630.038,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094138_000017.erg,110.72,629.87,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094140_000024.erg,50.326,364.162,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094142_000025.erg,56.162,371.954,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094144_000026.erg,61.048,376.514,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094145_000027.erg,65.963,379.244,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094147_000028.erg,70.386,318.689,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,0,3/27/2023
,,,,,,,
